content,sentimen,aspek,content_clean,content_casefolded,content_normalized,content_stopword,content_tokens,clean_text,content_stemmed
UI bagus. Ramah untuk kalangan muda,Positive,Tampilan,UI bagus Ramah untuk kalangan muda,ui bagus ramah untuk kalangan muda,ui bagus ramah untuk kalangan muda,ui bagus ramah kalangan muda,"['ui', 'bagus', 'ramah', 'kalangan', 'muda']",ui bagus ramah kalangan muda,"['ui', 'bagus', 'ramah', 'kalang', 'muda']"
Aplikasi nya keren sih sangat memudahkan bertransaksi gaperlu repot repot ke ATM. Fitur fiturnya juga keren sih gampang banget transaksi nya juga. Sangat membantu terimakasih wondr by BNI,Positive,Tampilan,Aplikasi nya keren sih sangat memudahkan bertransaksi gaperlu repot repot ke ATM Fitur fiturnya juga keren sih gampang banget transaksi nya juga Sangat membantu terimakasih wondr by BNI,aplikasi nya keren sih sangat memudahkan bertransaksi gaperlu repot repot ke atm fitur fiturnya juga keren sih gampang banget transaksi nya juga sangat membantu terimakasih wondr by bni,aplikasi ya keren sih sangat memudahkan bertransaksi tidak perlu repot repot ke ATM fitur fiturnya juga keren sih gampang banget transaksi ya juga sangat membantu terimakasih wondr by bni,keren sih sangat memudahkan bertransaksi tidak repot repot ATM fitur fiturnya keren sih gampang banget transaksi sangat membantu terimakasih,"['keren', 'sih', 'sangat', 'memudahkan', 'bertransaksi', 'tidak', 'repot', 'repot', 'ATM', 'fitur', 'fiturnya', 'keren', 'sih', 'gampang', 'banget', 'transaksi', 'sangat', 'membantu', 'terimakasih']",keren sih sangat memudahkan bertransaksi tidak repot repot ATM fitur fiturnya keren sih gampang banget transaksi sangat membantu terimakasih,"['keren', 'sih', 'sangat', 'mudah', 'transaksi', 'tidak', 'repot', 'repot', 'atm', 'fitur', 'fiturnya', 'keren', 'sih', 'gampang', 'banget', 'transaksi', 'sangat', 'bantu', 'terimakasih']"
"aplikasi keren dan multifungsi , bisa bayar tagihan langsung dari HP ,dan mudah pantau keuangan,topup e-wallet mudah dan bisa kapan saja, dapat mengatur keuangan dan banyak promo menarik.",Positive,Tampilan,aplikasi keren dan multifungsi  bisa bayar tagihan langsung dari HP dan mudah pantau keuangan topup e wallet mudah dan bisa kapan saja dapat mengatur keuangan dan banyak promo menarik,aplikasi keren dan multifungsi  bisa bayar tagihan langsung dari hp dan mudah pantau keuangan topup e wallet mudah dan bisa kapan saja dapat mengatur keuangan dan banyak promo menarik,aplikasi keren dan multifungsi bisa bayar tagihan langsung dari hp dan mudah pantau keuangan top up e wallet mudah dan bisa kapan saja dapat mengatur keuangan dan banyak promo menarik,keren multifungsi bisa bayar tagihan langsung hp mudah pantau keuangan top up e wallet mudah bisa mengatur keuangan promo menarik,"['keren', 'multifungsi', 'bisa', 'bayar', 'tagihan', 'langsung', 'hp', 'mudah', 'pantau', 'keuangan', 'top', 'up', 'e', 'wallet', 'mudah', 'bisa', 'mengatur', 'keuangan', 'promo', 'menarik']",keren multifungsi bisa bayar tagihan langsung hp mudah pantau keuangan top up e wallet mudah bisa mengatur keuangan promo menarik,"['keren', 'multifungsi', 'bisa', 'bayar', 'tagih', 'langsung', 'hp', 'mudah', 'pantau', 'uang', 'top', 'up', 'e', 'wallet', 'mudah', 'bisa', 'atur', 'uang', 'promo', 'menarik']"
"Tampilan bagus, cocok banget sama selera anak muda. Fitur""nya gampang dipahami, walaupun yang make orang tua sekalipun. Memudahkan banget buat keperluan transfer sehari"".",Positive,Tampilan,Tampilan bagus cocok banget sama selera anak muda Fiturnya gampang dipahami walaupun yang make orang tua sekalipun Memudahkan banget buat keperluan transfer sehari,tampilan bagus cocok banget sama selera anak muda fiturnya gampang dipahami walaupun yang make orang tua sekalipun memudahkan banget buat keperluan transfer sehari,tampilan bagus cocok banget sama selera anak muda fiturnya gampang dipahami walaupun yang memakai orang tua sekalipun memudahkan banget buat keperluan transfer sehari,tampilan bagus cocok banget selera anak muda fiturnya gampang dipahami memakai orang tua memudahkan banget keperluan transfer sehari,"['tampilan', 'bagus', 'cocok', 'banget', 'selera', 'anak', 'muda', 'fiturnya', 'gampang', 'dipahami', 'memakai', 'orang', 'tua', 'memudahkan', 'banget', 'keperluan', 'transfer', 'sehari']",tampilan bagus cocok banget selera anak muda fiturnya gampang dipahami memakai orang tua memudahkan banget keperluan transfer sehari,"['tampilan', 'bagus', 'cocok', 'banget', 'selera', 'anak', 'muda', 'fiturnya', 'gampang', 'paham', 'pakai', 'orang', 'tua', 'mudah', 'banget', 'perlu', 'transfer', 'hari']"
"Ini aplikasinya membantu saya dalam mengelola keuangan, Aplikasinya juga mudah digunakan tampilannya simple dan mudah di mengerti oleh awam apalagi ada fitur pembayaran pakai QRIS jadi cepet banget mau bayar apapun tinggal scan aja Pokoknya rekomendasi banget aplikasi nya ðŸ˜",Positive,Tampilan,Ini aplikasinya membantu saya dalam mengelola keuangan Aplikasinya juga mudah digunakan tampilannya simple dan mudah di mengerti oleh awam apalagi ada fitur pembayaran pakai QRIS jadi cepet banget mau bayar apapun tinggal scan aja Pokoknya rekomendasi banget aplikasi nya,ini aplikasinya membantu saya dalam mengelola keuangan aplikasinya juga mudah digunakan tampilannya simple dan mudah di mengerti oleh awam apalagi ada fitur pembayaran pakai qris jadi cepet banget mau bayar apapun tinggal scan aja pokoknya rekomendasi banget aplikasi nya,ini aplikasinya membantu saya dalam mengelola keuangan aplikasinya juga mudah digunakan tampilannya simpel dan mudah di mengerti oleh awam apalagi ada fitur pembayaran pakai QRIS jadi cepat banget mau bayar apa pun tinggal scan saja pokoknya rekomendasi banget aplikasi ya,membantu mengelola keuangan mudah tampilannya simpel mudah mengerti awam fitur pembayaran pakai QRIS cepat banget bayar tinggal scan pokoknya rekomendasi banget,"['membantu', 'mengelola', 'keuangan', 'mudah', 'tampilannya', 'simpel', 'mudah', 'mengerti', 'awam', 'fitur', 'pembayaran', 'pakai', 'QRIS', 'cepat', 'banget', 'bayar', 'tinggal', 'scan', 'pokoknya', 'rekomendasi', 'banget']",membantu mengelola keuangan mudah tampilannya simpel mudah mengerti awam fitur pembayaran pakai QRIS cepat banget bayar tinggal scan pokoknya rekomendasi banget,"['bantu', 'kelola', 'uang', 'mudah', 'tampil', 'simpel', 'mudah', 'erti', 'awam', 'fitur', 'bayar', 'pakai', 'qris', 'cepat', 'banget', 'bayar', 'tinggal', 'scan', 'pokok', 'rekomendasi', 'banget']"
"aku baru bikin rekening BNI, dan instal m-banking nya, ternyata sangat amat sekali worth it, karena Wondr by BNI mudah digunakan dan tampilanya kece. Apalagi minimal saldonya ramah dikantong, jadi nggak perlu khawatir, terus biaya adminnya juga dikit, yg paling aku senengi adalah, bisa narik tunai 20k jadi lebih hemat. Selama aku pakai ini aku nyaman banget, jadi nggak boros dan nggak khawatir aplikasinya lelet, karena buat transaksi itu sat set, jadi menghemat waktu.",Positive,Tampilan,aku baru bikin rekening BNI dan instal m banking nya ternyata sangat amat sekali worth it karena Wondr by BNI mudah digunakan dan tampilanya kece Apalagi minimal saldonya ramah dikantong jadi nggak perlu khawatir terus biaya adminnya juga dikit yg paling aku senengi adalah bisa narik tunai k jadi lebih hemat Selama aku pakai ini aku nyaman banget jadi nggak boros dan nggak khawatir aplikasinya lelet karena buat transaksi itu sat set jadi menghemat waktu,aku baru bikin rekening bni dan instal m banking nya ternyata sangat amat sekali worth it karena wondr by bni mudah digunakan dan tampilanya kece apalagi minimal saldonya ramah dikantong jadi nggak perlu khawatir terus biaya adminnya juga dikit yg paling aku senengi adalah bisa narik tunai k jadi lebih hemat selama aku pakai ini aku nyaman banget jadi nggak boros dan nggak khawatir aplikasinya lelet karena buat transaksi itu sat set jadi menghemat waktu,aku baru saja membuat rekening bni dan install sama banking ya ternyata sangat amat sekali worth itu karena wondr by bni mudah digunakan dan tampilan kece apalagi minimal saldonya ramah dikantong jadi tidak perlu khawatir terus biaya adminnya juga dikit yang paling aku senengi adalah bisa tarik tunai ke jadi lebih hemat selama aku pakai ini aku nyaman banget jadi tidak boros dan tidak khawatir aplikasinya lelet karena buat transaksi itu sat set jadi menghemat waktu,rekening install banking sangat worth mudah tampilan kece minimal saldonya ramah dikantong tidak khawatir biaya adminnya dikit senengi bisa tarik tunai lebih hemat pakai nyaman banget tidak boros tidak khawatir lelet transaksi sat set menghemat,"['rekening', 'install', 'banking', 'sangat', 'worth', 'mudah', 'tampilan', 'kece', 'minimal', 'saldonya', 'ramah', 'dikantong', 'tidak', 'khawatir', 'biaya', 'adminnya', 'dikit', 'senengi', 'bisa', 'tarik', 'tunai', 'lebih', 'hemat', 'pakai', 'nyaman', 'banget', 'tidak', 'boros', 'tidak', 'khawatir', 'lelet', 'transaksi', 'sat', 'set', 'menghemat']",rekening install banking sangat worth mudah tampilan kece minimal saldonya ramah dikantong tidak khawatir biaya adminnya dikit senengi bisa tarik tunai lebih hemat pakai nyaman banget tidak boros tidak khawatir lelet transaksi sat set menghemat,"['rekening', 'install', 'banking', 'sangat', 'worth', 'mudah', 'tampilan', 'kece', 'minimal', 'saldo', 'ramah', 'kantong', 'tidak', 'khawatir', 'biaya', 'adminnya', 'dikit', 'neng', 'bisa', 'tarik', 'tunai', 'lebih', 'hemat', 'pakai', 'nyaman', 'banget', 'tidak', 'boros', 'tidak', 'khawatir', 'lelet', 'transaksi', 'sat', 'set', 'hemat']"
aku udah pake wondr beberapa bulan ini dan beneran deh pake wondr ini sangat ngebantu aku. tampilannya sangat simple jadi gampang buat di gunain. fitur nya lengkap banget. dan fitur scan qris nya membantu bangeeeeeet. ga lelet dan langsung satset.,Positive,Tampilan,aku udah pake wondr beberapa bulan ini dan beneran deh pake wondr ini sangat ngebantu aku tampilannya sangat simple jadi gampang buat di gunain fitur nya lengkap banget dan fitur scan qris nya membantu bangeeeeeet ga lelet dan langsung satset,aku udah pake wondr beberapa bulan ini dan beneran deh pake wondr ini sangat ngebantu aku tampilannya sangat simple jadi gampang buat di gunain fitur nya lengkap banget dan fitur scan qris nya membantu bangeeeeeet ga lelet dan langsung satset,aku sudah pakai wondr beberapa bulan ini dan benaran saja pakai wondr ini sangat membantu aku tampilannya sangat simpel jadi gampang buat di gunain fitur ya lengkap banget dan fitur scan QRIS ya membantu bangeeeeeet tidak lelet dan langsung cepat,pakai benaran pakai sangat membantu tampilannya sangat simpel gampang gunain fitur lengkap banget fitur scan QRIS membantu bangeeeeeet tidak lelet langsung cepat,"['pakai', 'benaran', 'pakai', 'sangat', 'membantu', 'tampilannya', 'sangat', 'simpel', 'gampang', 'gunain', 'fitur', 'lengkap', 'banget', 'fitur', 'scan', 'QRIS', 'membantu', 'bangeeeeeet', 'tidak', 'lelet', 'langsung', 'cepat']",pakai benaran pakai sangat membantu tampilannya sangat simpel gampang gunain fitur lengkap banget fitur scan QRIS membantu bangeeeeeet tidak lelet langsung cepat,"['pakai', 'benar', 'pakai', 'sangat', 'bantu', 'tampil', 'sangat', 'simpel', 'gampang', 'gunain', 'fitur', 'lengkap', 'banget', 'fitur', 'scan', 'qris', 'bantu', 'bangeeeeeet', 'tidak', 'lelet', 'langsung', 'cepat']"
"Aplikasi dari bank bni dg tampilan keren, memudahkan kita untuk transaksi perbankan, wondr BNI keren yg blm punya silakan download",Positive,Tampilan,Aplikasi dari bank bni dg tampilan keren memudahkan kita untuk transaksi perbankan wondr BNI keren yg blm punya silakan download,aplikasi dari bank bni dg tampilan keren memudahkan kita untuk transaksi perbankan wondr bni keren yg blm punya silakan download,aplikasi dari bank bni dengan tampilan keren memudahkan kita untuk transaksi perbankan wondr bni keren yang belum punya silakan download,bank tampilan keren memudahkan transaksi perbankan keren belum silakan download,"['bank', 'tampilan', 'keren', 'memudahkan', 'transaksi', 'perbankan', 'keren', 'belum', 'silakan', 'download']",bank tampilan keren memudahkan transaksi perbankan keren belum silakan download,"['bank', 'tampilan', 'keren', 'mudah', 'transaksi', 'perban', 'keren', 'belum', 'sila', 'download']"
"Sejauh ini aplikasinya ok banget ya. Tampilannya modern dan responsif. Untuk ngecek saldo dan mutasi akun juga akurat, fitur fiturnya juga ok dan lengkap",Positive,Tampilan,Sejauh ini aplikasinya ok banget ya Tampilannya modern dan responsif Untuk ngecek saldo dan mutasi akun juga akurat fitur fiturnya juga ok dan lengkap,sejauh ini aplikasinya ok banget ya tampilannya modern dan responsif untuk ngecek saldo dan mutasi akun juga akurat fitur fiturnya juga ok dan lengkap,sejauh ini aplikasinya oke banget ya tampilannya modern dan responsif untuk mengecek saldo dan histori transaksi akun juga akurat fitur fiturnya juga oke dan lengkap,oke banget tampilannya modern responsif mengecek saldo histori transaksi akun akurat fitur fiturnya oke lengkap,"['oke', 'banget', 'tampilannya', 'modern', 'responsif', 'mengecek', 'saldo', 'histori', 'transaksi', 'akun', 'akurat', 'fitur', 'fiturnya', 'oke', 'lengkap']",oke banget tampilannya modern responsif mengecek saldo histori transaksi akun akurat fitur fiturnya oke lengkap,"['oke', 'banget', 'tampil', 'modern', 'responsif', 'ecek', 'saldo', 'histori', 'transaksi', 'akun', 'akurat', 'fitur', 'fiturnya', 'oke', 'lengkap']"
"Ini aplikasi keren banget sih,bisa lengkap banget fitur nya,dari mulai ngatur keuangan,pesan tiket buat liburan ,sampai investasi juga bisa, daftar juga mudah",Positive,Tampilan,Ini aplikasi keren banget sih bisa lengkap banget fitur nya dari mulai ngatur keuangan pesan tiket buat liburan sampai investasi juga bisa daftar juga mudah,ini aplikasi keren banget sih bisa lengkap banget fitur nya dari mulai ngatur keuangan pesan tiket buat liburan sampai investasi juga bisa daftar juga mudah,ini aplikasi keren banget sih bisa lengkap banget fitur ya dari mulai mengatur keuangan pesan tiket buat liburan sampai investasi juga bisa daftar juga mudah,keren banget sih bisa lengkap banget fitur mengatur keuangan pesan tiket liburan investasi bisa daftar mudah,"['keren', 'banget', 'sih', 'bisa', 'lengkap', 'banget', 'fitur', 'mengatur', 'keuangan', 'pesan', 'tiket', 'liburan', 'investasi', 'bisa', 'daftar', 'mudah']",keren banget sih bisa lengkap banget fitur mengatur keuangan pesan tiket liburan investasi bisa daftar mudah,"['keren', 'banget', 'sih', 'bisa', 'lengkap', 'banget', 'fitur', 'atur', 'uang', 'pesan', 'tiket', 'libur', 'investasi', 'bisa', 'daftar', 'mudah']"
"Aplikasi yang bener bener bikin hidup jadi lebih gampang! Fiturnya lengkap, desainnya simpel, dan transaksinya cepet banget. Recommended banget buat yang suka serba praktis dan sat set kayak aku.",Positive,Tampilan,Aplikasi yang bener bener bikin hidup jadi lebih gampang Fiturnya lengkap desainnya simpel dan transaksinya cepet banget Recommended banget buat yang suka serba praktis dan sat set kayak aku,aplikasi yang bener bener bikin hidup jadi lebih gampang fiturnya lengkap desainnya simpel dan transaksinya cepet banget recommended banget buat yang suka serba praktis dan sat set kayak aku,aplikasi yang benar benar membuat hidup jadi lebih gampang fiturnya lengkap desainnya simpel dan transaksinya cepat banget recommended banget buat yang sering serba praktis dan sat set kayak aku,hidup lebih gampang fiturnya lengkap desainnya simpel transaksinya cepat banget recommended banget sering serba praktis sat set kayak,"['hidup', 'lebih', 'gampang', 'fiturnya', 'lengkap', 'desainnya', 'simpel', 'transaksinya', 'cepat', 'banget', 'recommended', 'banget', 'sering', 'serba', 'praktis', 'sat', 'set', 'kayak']",hidup lebih gampang fiturnya lengkap desainnya simpel transaksinya cepat banget recommended banget sering serba praktis sat set kayak,"['hidup', 'lebih', 'gampang', 'fiturnya', 'lengkap', 'desain', 'simpel', 'transaksi', 'cepat', 'banget', 'recommended', 'banget', 'sering', 'serba', 'praktis', 'sat', 'set', 'kayak']"
Aplikasi jelek..selalu bug selalu minta verifikasi kalo mau masuk... Ga work it lebih bagus lewat aplikasi BNI mobile..ga bisa simple kaya BNI mobile..,Negative,Tampilan,Aplikasi jelek selalu bug selalu minta verifikasi kalo mau masuk Ga work it lebih bagus lewat aplikasi BNI mobile ga bisa simple kaya BNI mobile,aplikasi jelek selalu bug selalu minta verifikasi kalo mau masuk ga work it lebih bagus lewat aplikasi bni mobile ga bisa simple kaya bni mobile,aplikasi jelek selalu bug selalu meminta verifikasi kalau mau masuk tidak work itu lebih bagus lewat aplikasi bni mobile tidak bisa simpel kayak bni mobile,jelek bug verifikasi masuk tidak work lebih bagus mobile tidak bisa simpel kayak mobile,"['jelek', 'bug', 'verifikasi', 'masuk', 'tidak', 'work', 'lebih', 'bagus', 'mobile', 'tidak', 'bisa', 'simpel', 'kayak', 'mobile']",jelek bug verifikasi masuk tidak work lebih bagus mobile tidak bisa simpel kayak mobile,"['jelek', 'bug', 'verifikasi', 'masuk', 'tidak', 'work', 'lebih', 'bagus', 'mobile', 'tidak', 'bisa', 'simpel', 'kayak', 'mobile']"
